"zip","population","city","county"
"99301",81583,"Pasco","Franklin"
"98052",71940,"Redmond","King"
"98012",70009,"Bothell","Snohomish"
"98682",63768,"Vancouver","Clark"
"98208",58211,"Everett","Snohomish"
"98115",55519,"Seattle","King"
"99208",55092,"Spokane","Spokane"
"98103",54194,"Seattle","King"
"98632",52489,"Longview","Cowlitz"
"98270",52307,"Marysville","Snohomish"
"98105",52290,"Seattle","King"
"99336",52259,"Kennewick","Benton"
"98225",51606,"Bellingham","Whatcom"
"98387",51305,"Spanaway","Pierce"
"98023",50176,"Federal Way","King"
"98118",49702,"Seattle","King"
"98133",49476,"Seattle","King"
"98003",49445,"Federal Way","King"
"98042",49118,"Kent","King"
"98092",48962,"Auburn","King"
"98661",48485,"Vancouver","Clark"
"98902",46728,"Yakima","Yakima"
"98223",46027,"Arlington","Snohomish"
"98226",45380,"Bellingham","Whatcom"
"98034",45009,"Kirkland","King"
"98374",44293,"Puyallup","Pierce"
"98204",44152,"Everett","Snohomish"
"98125",44030,"Seattle","King"
"98837",43952,"Moses Lake","Grant"
"98801",43799,"Wenatchee","Chelan"
"99205",43707,"Spokane","Spokane"
"98501",43584,"Olympia","Thurston"
"98058",43482,"Renton","King"
"98503",42119,"Lacey","Thurston"
"99362",41779,"Walla Walla","Walla Walla"
"98122",41152,"Seattle","King"
"98036",40784,"Lynnwood","Snohomish"
"98059",40693,"Renton","King"
"99206",40510,"Spokane","Spokane"
"98033",39802,"Kirkland","King"
"98277",38844,"Oak Harbor","Island"
"98198",38699,"Seattle","King"
"98032",38478,"Kent","King"
"98026",38292,"Edmonds","Snohomish"
"98031",38163,"Kent","King"
"98584",37698,"Shelton","Mason"
"98006",37473,"Bellevue","King"
"98604",37333,"Battle Ground","Clark"
"98004",37265,"Bellevue","King"
"98290",37077,"Snohomish","Snohomish"
"98908",37004,"Yakima","Yakima"
"98404",36749,"Tacoma","Pierce"
"98117",36647,"Seattle","King"
"98056",36625,"Renton","King"
"98513",36473,"Olympia","Thurston"
"98038",36157,"Maple Valley","King"
"99163",36052,"Pullman","Whitman"
"98203",35901,"Everett","Snohomish"
"98444",35604,"Tacoma","Pierce"
"98366",35523,"Port Orchard","Kitsap"
"98155",35420,"Seattle","King"
"98502",35307,"Olympia","Thurston"
"98926",34893,"Ellensburg","Kittitas"
"98001",34455,"Auburn","King"
"98011",34201,"Bothell","King"
"98002",33947,"Auburn","King"
"98662",33798,"Vancouver","Clark"
"98258",33545,"Lake Stevens","Snohomish"
"98021",33382,"Bothell","Snohomish"
"98168",33217,"Seattle","King"
"98144",33175,"Seattle","King"
"98607",32897,"Camas","Clark"
"99223",32750,"Spokane","Spokane"
"98375",32349,"Puyallup","Pierce"
"99352",32246,"Richland","Benton"
"98499",32174,"Lakewood","Pierce"
"99337",32080,"Kennewick","Benton"
"98370",32044,"Poulsbo","Kitsap"
"98445",31973,"Tacoma","Pierce"
"98684",31805,"Vancouver","Clark"
"98273",31725,"Mount Vernon","Skagit"
"98683",31676,"Vancouver","Clark"
"98802",31626,"East Wenatchee","Douglas"
"98901",31425,"Yakima","Yakima"
"99207",31020,"Spokane","Spokane"
"98109",31011,"Seattle","King"
"98512",30833,"Olympia","Thurston"
"98272",30801,"Monroe","Snohomish"
"98296",30781,"Snohomish","Snohomish"
"98201",30645,"Everett","Snohomish"
"98367",30447,"Port Orchard","Kitsap"
"98312",30437,"Bremerton","Kitsap"
"98027",30240,"Issaquah","King"
"98037",29977,"Lynnwood","Snohomish"
"98029",29956,"Issaquah","King"
"98685",29788,"Vancouver","Clark"
"98466",29401,"Tacoma","Pierce"
"98074",29349,"Sammamish","King"
"98382",29214,"Sequim","Clallam"
"98338",28999,"Graham","Pierce"
"98498",28764,"Lakewood","Pierce"
"98116",28705,"Seattle","King"
"98271",28473,"Marysville","Snohomish"
"98007",28147,"Bellevue","King"
"98311",28042,"Bremerton","Kitsap"
"98107",28025,"Seattle","King"
"98106",27997,"Seattle","King"
"98409",27918,"Tacoma","Pierce"
"98146",27622,"Seattle","King"
"98665",27260,"Vancouver","Clark"
"98373",27196,"Puyallup","Pierce"
"98335",27098,"Gig Harbor","Pierce"
"98119",26898,"Seattle","King"
"98372",26823,"Puyallup","Pierce"
"98248",26552,"Ferndale","Whatcom"
"98178",26507,"Seattle","King"
"98284",26268,"Sedro Woolley","Skagit"
"98531",26212,"Centralia","Lewis"
"99216",26166,"Spokane","Spokane"
"98102",25887,"Seattle","King"
"98040",25820,"Mercer Island","King"
"98112",25694,"Seattle","King"
"98008",25650,"Bellevue","King"
"98532",25534,"Chehalis","Lewis"
"98626",25366,"Kelso","Cowlitz"
"98516",25332,"Olympia","Thurston"
"98188",25292,"Seattle","King"
"98362",24997,"Port Angeles","Clallam"
"98597",24968,"Yelm","Thurston"
"98944",24949,"Sunnyside","Yakima"
"98520",24936,"Aberdeen","Grays Harbor"
"98072",24865,"Woodinville","King"
"98110",24859,"Bainbridge Island","Kitsap"
"98075",24435,"Sammamish","King"
"98055",24077,"Renton","King"
"98108",24034,"Seattle","King"
"98405",23671,"Tacoma","Pierce"
"98664",23601,"Vancouver","Clark"
"98199",23444,"Seattle","King"
"98671",23116,"Washougal","Clark"
"98292",23063,"Stanwood","Snohomish"
"98406",23052,"Tacoma","Pierce"
"98028",22953,"Kenmore","King"
"98053",22911,"Redmond","King"
"98383",22825,"Silverdale","Kitsap"
"98126",22681,"Seattle","King"
"98221",22290,"Anacortes","Skagit"
"99224",22172,"Spokane","Spokane"
"98166",21772,"Seattle","King"
"98371",21764,"Puyallup","Pierce"
"98422",21732,"Tacoma","Pierce"
"99202",21488,"Spokane","Spokane"
"98275",21432,"Mukilteo","Snohomish"
"98005",21414,"Bellevue","King"
"99203",21359,"Spokane","Spokane"
"98264",21337,"Lynden","Whatcom"
"98043",21328,"Mountlake Terrace","Snohomish"
"98407",21316,"Tacoma","Pierce"
"98022",21296,"Enumclaw","King"
"99212",21191,"Spokane","Spokane"
"99004",21189,"Cheney","Spokane"
"98642",20920,"Ridgefield","Clark"
"99403",20707,"Clarkston","Asotin"
"98408",20670,"Tacoma","Pierce"
"98121",20534,"Seattle","King"
"98310",20431,"Bremerton","Kitsap"
"98177",20422,"Seattle","King"
"98433",20137,"Tacoma","Pierce"
"98686",20059,"Vancouver","Clark"
"98020",19010,"Edmonds","Snohomish"
"98332",18940,"Gig Harbor","Pierce"
"99338",18473,"Kennewick","Benton"
"98506",18404,"Olympia","Thurston"
"99344",18400,"Othello","Adams"
"98274",18346,"Mount Vernon","Skagit"
"99217",18073,"Spokane","Spokane"
"98230",17910,"Blaine","Whatcom"
"98942",17454,"Selah","Yakima"
"99218",17417,"Spokane","Spokane"
"98136",17083,"Seattle","King"
"98282",17073,"Camano Island","Island"
"99353",16376,"West Richland","Benton"
"98233",16324,"Burlington","Skagit"
"98368",16070,"Port Townsend","Jefferson"
"98321",15976,"Buckley","Pierce"
"98065",15896,"Snoqualmie","King"
"98205",15784,"Everett","Snohomish"
"99016",15437,"Greenacres","Spokane"
"98663",15406,"Vancouver","Clark"
"98903",15404,"Yakima","Yakima"
"98467",15381,"University Place","Pierce"
"98930",15263,"Grandview","Yakima"
"98045",15174,"North Bend","King"
"98104",15155,"Seattle","King"
"98674",14869,"Woodland","Cowlitz"
"99037",14589,"Veradale","Spokane"
"98101",14380,"Seattle","King"
"98363",14295,"Port Angeles","Clallam"
"99350",14208,"Prosser","Benton"
"98360",14084,"Orting","Pierce"
"98951",13473,"Wapato","Yakima"
"99006",13397,"Deer Park","Spokane"
"99201",13256,"Spokane","Spokane"
"99114",12866,"Colville","Stevens"
"98579",12845,"Rochester","Thurston"
"98528",12812,"Belfair","Mason"
"98948",12601,"Toppenish","Yakima"
"98848",12427,"Quincy","Grant"
"98660",12305,"Vancouver","Clark"
"99019",12244,"Liberty Lake","Spokane"
"98446",11945,"Tacoma","Pierce"
"98019",11841,"Duvall","King"
"98823",11740,"Ephrata","Grant"
"98057",11534,"Renton","King"
"98424",11524,"Tacoma","Pierce"
"98148",11514,"Seattle","King"
"98580",11495,"Roy","Pierce"
"98550",11307,"Hoquiam","Grays Harbor"
"98390",11155,"Sumner","Pierce"
"98329",11063,"Gig Harbor","Pierce"
"98541",10858,"Elma","Grays Harbor"
"98328",10763,"Eatonville","Pierce"
"98070",10400,"Vashon","King"
"98252",9993,"Granite Falls","Snohomish"
"99005",9770,"Colbert","Spokane"
"99324",9739,"College Place","Walla Walla"
"99320",9696,"Benton City","Benton"
"98418",9644,"Tacoma","Pierce"
"98327",9514,"Dupont","Pierce"
"99021",9441,"Mead","Spokane"
"98841",9335,"Omak","Okanogan"
"98346",9273,"Kingston","Kitsap"
"98606",9203,"Brush Prairie","Clark"
"99349",9184,"Mattawa","Grant"
"98247",9105,"Everson","Whatcom"
"98611",8803,"Castle Rock","Cowlitz"
"98629",8761,"La Center","Clark"
"99156",8755,"Newport","Pend Oreille"
"99022",8718,"Medical Lake","Spokane"
"99026",8714,"Nine Mile Falls","Spokane"
"98250",8318,"Friday Harbor","San Juan"
"98403",8169,"Tacoma","Pierce"
"98563",7691,"Montesano","Grays Harbor"
"98239",7679,"Coupeville","Island"
"98620",7670,"Goldendale","Klickitat"
"98922",7630,"Cle Elum","Kittitas"
"98826",7624,"Leavenworth","Chelan"
"98675",7604,"Yacolt","Clark"
"98596",7579,"Winlock","Lewis"
"98354",7551,"Milton","Pierce"
"99001",7330,"Airway Heights","Spokane"
"98294",7310,"Sultan","Snohomish"
"98672",7256,"White Salmon","Klickitat"
"98577",7235,"Raymond","Pacific"
"98337",7223,"Bremerton","Kitsap"
"98815",7210,"Cashmere","Chelan"
"98014",7200,"Carnation","King"
"98047",7012,"Pacific","King"
"99204",7010,"Spokane","Spokane"
"98936",6981,"Moxee","Yakima"
"98589",6955,"Tenino","Thurston"
"98402",6920,"Tacoma","Pierce"
"98315",6825,"Silverdale","Kitsap"
"98388",6682,"Steilacoom","Pierce"
"99326",6666,"Connell","Franklin"
"98465",6656,"Tacoma","Pierce"
"98024",6635,"Fall City","King"
"98625",6516,"Kalama","Cowlitz"
"98953",6461,"Zillah","Yakima"
"98569",6444,"Ocean Shores","Grays Harbor"
"98331",6228,"Forks","Clallam"
"98236",6140,"Clinton","Island"
"98855",6033,"Tonasket","Okanogan"
"98260",6024,"Langley","Island"
"98816",6005,"Chelan","Chelan"
"99027",5985,"Otis Orchards","Spokane"
"99141",5898,"Kettle Falls","Stevens"
"98010",5882,"Black Diamond","King"
"99025",5510,"Newman Lake","Spokane"
"98932",5442,"Granger","Yakima"
"98443",5335,"Tacoma","Pierce"
"98439",5260,"Lakewood","Pierce"
"98812",5227,"Brewster","Okanogan"
"98576",5196,"Rainier","Thurston"
"98349",5090,"Lakebay","Pierce"
"98359",5065,"Olalla","Kitsap"
"99109",4948,"Chewelah","Stevens"
"98365",4816,"Port Ludlow","Jefferson"
"98851",4783,"Soap Lake","Grant"
"98640",4774,"Ocean Park","Pacific"
"98237",4762,"Concrete","Skagit"
"98840",4571,"Okanogan","Okanogan"
"98249",4458,"Freeland","Island"
"99357",4438,"Royal City","Grant"
"98257",4430,"La Conner","Skagit"
"98844",4428,"Oroville","Okanogan"
"99009",4423,"Elk","Spokane"
"98935",4398,"Mabton","Yakima"
"98051",4386,"Ravensdale","King"
"98937",4354,"Naches","Yakima"
"99122",4338,"Davenport","Lincoln"
"98380",4296,"Seabeck","Kitsap"
"98232",4259,"Bow","Skagit"
"98524",4220,"Allyn","Mason"
"99111",4202,"Colfax","Whitman"
"99323",4192,"Burbank","Walla Walla"
"98570",4189,"Onalaska","Lewis"
"99003",4110,"Chattaroy","Spokane"
"98251",4084,"Gold Bar","Snohomish"
"98266",4014,"Maple Falls","Whatcom"
"98245",3767,"Eastsound","San Juan"
"99328",3718,"Dayton","Columbia"
"98333",3613,"Fox Island","Pierce"
"98857",3534,"Warden","Grant"
"98831",3529,"Manson","Chelan"
"98244",3483,"Deming","Whatcom"
"99011",3464,"Fairchild Air Force Base","Spokane"
"98340",3421,"Hansville","Kitsap"
"98591",3411,"Toledo","Lewis"
"98557",3384,"Mccleary","Grays Harbor"
"98039",3283,"Medina","King"
"98339",3277,"Port Hadlock","Jefferson"
"98314",3270,"Bremerton","Kitsap"
"98601",3266,"Amboy","Clark"
"98947",3266,"Tieton","Yakima"
"98546",3225,"Grapeview","Mason"
"98648",3207,"Stevenson","Skamania"
"98612",3201,"Cathlamet","Wahkiakum"
"98610",3199,"Carson","Skamania"
"98392",3059,"Suquamish","Kitsap"
"98631",3055,"Long Beach","Pacific"
"99343",3037,"Mesa","Franklin"
"99166",3022,"Republic","Ferry"
"98813",3012,"Bridgeport","Douglas"
"98240",2934,"Custer","Whatcom"
"98295",2884,"Sumas","Whatcom"
"98261",2808,"Lopez Island","San Juan"
"98595",2716,"Westport","Grays Harbor"
"99169",2663,"Ritzville","Adams"
"98856",2612,"Twisp","Okanogan"
"98862",2605,"Winthrop","Okanogan"
"98568",2492,"Oakville","Grays Harbor"
"98537",2487,"Cosmopolis","Grays Harbor"
"98564",2394,"Mossyrock","Lewis"
"99347",2304,"Pomeroy","Garfield"
"98847",2295,"Peshastin","Chelan"
"98278",2243,"Oak Harbor","Island"
"98843",2185,"Orondo","Douglas"
"98938",2178,"Outlook","Yakima"
"98376",2176,"Quilcene","Jefferson"
"98952",2125,"White Swan","Yakima"
"99148",2057,"Loon Lake","Stevens"
"98828",2046,"Malaga","Chelan"
"98356",2016,"Morton","Lewis"
"98548",1989,"Hoodsport","Mason"
"98645",1962,"Silverlake","Cowlitz"
"98241",1941,"Darrington","Snohomish"
"98624",1889,"Ilwaco","Pacific"
"99013",1856,"Ford","Stevens"
"98377",1845,"Randle","Lewis"
"98858",1838,"Waterville","Douglas"
"98822",1798,"Entiat","Chelan"
"99361",1795,"Waitsburg","Walla Walla"
"99036",1794,"Valleyford","Spokane"
"99181",1788,"Valley","Stevens"
"98586",1763,"South Bend","Pacific"
"98592",1740,"Union","Mason"
"98253",1726,"Greenbank","Island"
"99110",1724,"Clayton","Stevens"
"98850",1688,"Rock Island","Douglas"
"99133",1674,"Grand Coulee","Grant"
"99116",1672,"Coulee Dam","Okanogan"
"98357",1638,"Neah Bay","Clallam"
"98351",1619,"Longbranch","Pierce"
"99402",1597,"Asotin","Asotin"
"98635",1586,"Lyle","Klickitat"
"99173",1577,"Springdale","Stevens"
"98303",1571,"Anderson Island","Pierce"
"99360",1569,"Touchet","Walla Walla"
"99348",1538,"Prescott","Walla Walla"
"98588",1489,"Tahuya","Mason"
"98638",1489,"Naselle","Pacific"
"98207",1435,"Everett","Snohomish"
"98547",1420,"Grayland","Grays Harbor"
"99101",1419,"Addy","Stevens"
"99159",1403,"Odessa","Lincoln"
"98320",1357,"Brinnon","Jefferson"
"98421",1346,"Tacoma","Pierce"
"99139",1339,"Ione","Pend Oreille"
"98394",1331,"Vaughn","Pierce"
"98325",1321,"Chimacum","Jefferson"
"98846",1317,"Pateros","Okanogan"
"99185",1299,"Wilbur","Lincoln"
"99115",1298,"Coulee City","Grant"
"99119",1294,"Cusick","Pend Oreille"
"99161",1278,"Palouse","Whitman"
"98342",1276,"Indianola","Kitsap"
"99031",1270,"Spangle","Spokane"
"98593",1232,"Vader","Lewis"
"99155",1231,"Nespelem","Okanogan"
"98849",1216,"Riverside","Okanogan"
"99330",1157,"Eltopia","Franklin"
"98650",1144,"Trout Lake","Klickitat"
"98617",1138,"Dallesport","Klickitat"
"98281",1100,"Point Roberts","Whatcom"
"98605",1089,"Bingen","Klickitat"
"99138",1084,"Inchelium","Ferry"
"98542",1080,"Ethel","Lewis"
"99180",1065,"Usk","Pend Oreille"
"98943",1032,"South Cle Elum","Kittitas"
"98651",1031,"Underwood","Skamania"
"98304",1029,"Ashford","Pierce"
"99170",1022,"Rosalia","Whitman"
"99126",1019,"Evans","Stevens"
"98933",1018,"Harrah","Yakima"
"99171",1018,"Saint John","Whitman"
"98923",1017,"Cowiche","Yakima"
"99029",1009,"Reardan","Lincoln"
"99012",1006,"Fairfield","Spokane"
"98821",1000,"Dryden","Chelan"
"98934",995,"Kittitas","Kittitas"
"99123",992,"Electric City","Grant"
"98416",973,"Tacoma","Pierce"
"98603",961,"Ariel","Cowlitz"
"98262",955,"Lummi Island","Whatcom"
"98836",953,"Monitor","Chelan"
"98358",943,"Nordland","Jefferson"
"99033",927,"Tekoa","Whitman"
"98572",925,"Pe Ell","Lewis"
"99030",905,"Rockford","Spokane"
"98649",860,"Toutle","Cowlitz"
"98639",855,"North Bonneville","Skamania"
"99130",855,"Garfield","Whitman"
"98355",846,"Mineral","Lewis"
"98326",840,"Clallam Bay","Clallam"
"98220",839,"Acme","Whatcom"
"98336",824,"Glenoma","Lewis"
"98565",807,"Napavine","Lewis"
"99118",794,"Curlew","Ferry"
"98587",784,"Taholah","Grays Harbor"
"99040",784,"Wellpinit","Stevens"
"98134",779,"Seattle","King"
"98323",757,"Carbonado","Pierce"
"98396",749,"Wilkeson","Pierce"
"98447",744,"Tacoma","Pierce"
"98814",739,"Carlton","Okanogan"
"98276",713,"Nooksack","Whatcom"
"99167",710,"Rice","Stevens"
"99032",698,"Sprague","Lincoln"
"98361",696,"Packwood","Lewis"
"98279",693,"Olga","San Juan"
"99341",687,"Lind","Adams"
"99129",671,"Fruitland","Stevens"
"99143",668,"Lacrosse","Whitman"
"99023",641,"Mica","Spokane"
"98585",630,"Silver Creek","Lewis"
"98535",614,"Copalis Beach","Grays Harbor"
"98619",613,"Glenwood","Klickitat"
"98438",610,"Mcchord Afb","Pierce"
"98941",608,"Roslyn","Kittitas"
"98530",608,"Bucoda","Thurston"
"99125",603,"Endicott","Whitman"
"99113",600,"Colton","Whitman"
"99157",589,"Northport","Stevens"
"99158",585,"Oakesdale","Whitman"
"98824",582,"George","Grant"
"98243",548,"Deer Harbor","San Juan"
"98673",544,"Wishram","Klickitat"
"99134",531,"Harrington","Lincoln"
"99117",530,"Creston","Lincoln"
"98552",526,"Humptulips","Grays Harbor"
"98050",523,"Preston","King"
"98350",520,"La Push","Clallam"
"98068",497,"Snoqualmie Pass","King"
"98830",492,"Mansfield","Douglas"
"98590",491,"Tokeland","Pacific"
"99103",489,"Almira","Lincoln"
"99140",489,"Keller","Ferry"
"99321",488,"Beverly","Grant"
"98644",481,"Seaview","Pacific"
"98925",477,"Easton","Kittitas"
"99102",473,"Albion","Whitman"
"99008",470,"Edwall","Lincoln"
"99179",458,"Uniontown","Whitman"
"98946",454,"Thorp","Kittitas"
"98829",451,"Malott","Okanogan"
"98533",451,"Cinebar","Lewis"
"99322",448,"Bickleton","Klickitat"
"98940",445,"Ronald","Kittitas"
"99346",443,"Plymouth","Benton"
"98581",424,"Ryderwood","Cowlitz"
"99153",422,"Metaline Falls","Pend Oreille"
"98827",421,"Loomis","Okanogan"
"98613",407,"Centerville","Klickitat"
"98280",384,"Orcas","San Juan"
"98538",378,"Curtis","Lewis"
"99401",376,"Anatone","Asotin"
"99135",374,"Hartline","Grant"
"99128",371,"Farmington","Whitman"
"98256",369,"Index","Snohomish"
"98385",362,"South Prairie","Pierce"
"99137",357,"Hunters","Stevens"
"98643",355,"Rosburg","Wahkiakum"
"98283",350,"Rockport","Skagit"
"98305",349,"Beaver","Clallam"
"98345",339,"Keyport","Kitsap"
"99371",327,"Washtucna","Adams"
"99121",327,"Danville","Ferry"
"99150",310,"Malo","Ferry"
"98621",309,"Grays River","Wahkiakum"
"98628",285,"Klickitat","Klickitat"
"99018",279,"Latah","Spokane"
"99124",277,"Elmer City","Okanogan"
"98845",266,"Palisades","Douglas"
"98381",266,"Sekiu","Clallam"
"98267",262,"Marblemount","Skagit"
"98647",256,"Skamokawa","Wahkiakum"
"98555",243,"Lilliwaup","Mason"
"98224",243,"Baring","King"
"98834",234,"Methow","Okanogan"
"98819",233,"Conconully","Okanogan"
"98832",230,"Marlin","Grant"
"98527",227,"Bay Center","Pacific"
"98288",225,"Skykomish","King"
"99149",223,"Malden","Whitman"
"99131",218,"Gifford","Stevens"
"98571",214,"Pacific Beach","Grays Harbor"
"98860",214,"Wilson Creek","Grant"
"99335",205,"Kahlotus","Franklin"